wtd_range_FusionHeat,wtd_mean_FusionHeat,entropy_ElectronAffinity,gmean_atomic_radius,wtd_entropy_atomic_radius,wtd_gmean_atomic_radius,wtd_range_atomic_mass,wtd_mean_Valence,wtd_std_ThermalConductivity,wtd_gmean_Valence,wtd_gmean_FusionHeat,range_atomic_radius,range_ThermalConductivity,range_fie,critical_temp
19.1,23.3,0.603201717214406,156.12494995996,0.68548969028873,144.972249941225,2.11817666666666,3.66666666666667,22.1560124771785,3.63424118566428,18.5380875898397,70,47.0,218.9,1.49
9.75,13.8,1.09424955282146,154.518380179081,0.864020775103532,156.241413120587,59.76711535,3.75,77.7929945432106,3.7224194364084,13.0043627398614,67,224.0,263.4,0.9
2.81169230769231,4.70784615384615,1.46325162999987,136.70950043273,1.61727437734368,86.7840848468168,13.2103113538462,2.12307692307692,163.623501411096,2.09265497915449,1.22547433220379,205,399.97342,810.6,90.0
1.7980956937799,3.87056459330144,0.894571101965202,131.729022092529,1.24679208895277,94.9227799254133,25.2521531100478,2.0,128.056803427845,2.0,1.12678328831133,205,399.97342,810.6,56.0
3.55933333333333,4.284,1.05132053258832,84.2103571268531,1.00877781522411,84.210357126853,64.327,4.33333333333333,3.71736593112202,3.91486764116886,1.61166654843668,95,7.97342,610.2,5.1
1.78228571428571,3.81722857142857,1.15968659338134,136.126003095455,1.11197195696637,84.1456828944666,36.6092581914286,2.27457142857143,138.545766313648,2.23552548001021,1.03666080429584,205,399.97342,810.6,26.6
4.48,25.0,0.660502926605721,184.005434702348,0.678296508477079,185.359182042244,28.174834,5.0,11.4423555267261,5.0,24.9198152287825,27,23.0,13.5,4.11
5.58257142857143,9.56028571428571,1.18305212822075,152.230595865577,1.39068378172743,151.684276164204,27.1415857142857,2.14285714285714,190.502193082828,2.1192680453341,6.22966261251767,205,399.97342,810.6,90.0
10.768,17.552,1.17354837797007,170.992039730076,1.28153132337379,146.457579970923,27.2098676864,3.48,31.5704672122539,3.12261831959975,14.2885297337923,139,122.0,450.6,28.7
18.35,21.85,0.687309971252107,169.440254957315,0.495104810863771,183.164326443629,40.002285,4.75,5.62916512459885,4.72870804501588,19.1591221157854,53,13.0,44.6,17.4
1.84563340410474,3.90667091295117,1.52820701975853,136.500058636458,1.09053042490958,88.7035274224028,36.8806462420382,2.56617126680821,137.944840401884,2.43358916244438,1.04102323000231,199,399.97342,786.5,15.89
12.9083333333333,19.1416666666667,1.00940951675987,165.587012291731,0.728137483465255,185.418491755508,55.5205,3.83333333333333,103.726670737194,3.77549725072677,18.9218774226127,61,377.0,98.4,4.89
1.64085714285714,3.865,1.24264118205134,135.907214936949,1.26887486553667,84.3032423225783,34.2476960714286,2.25857142857143,134.741305589361,2.22106958032704,1.04322919242588,171,399.97342,772.0,30.5
2.263,5.62477777777778,1.38315051284497,133.562580313073,1.54218619038128,96.4051708620418,38.21842,2.71666666666667,123.383524240472,2.50605009510492,1.80798327377127,171,399.97342,772.0,24.0
9.84545454545455,19.3545454545455,1.01225267338223,160.303784831481,1.09110246951451,157.4737776266,12.2872727272727,3.72727272727273,23.8473104327518,3.69816079668736,16.1794321053429,70,58.0,262.4,2.75
4.67048672566372,7.85517699115044,0.701308386016759,168.548941337649,1.09334381628547,146.836311564787,14.4286061946903,3.94690265486726,35.1575523849659,3.30781079430671,6.3622244207402,195,78.48,564.9,29.0
1.889,4.03475,0.894571101965202,131.729022092529,1.24027995249262,97.8805189050267,26.3885,2.0,130.398317986177,2.0,1.21223642994745,205,399.97342,810.6,92.5
3.24725,9.274,1.38160146504613,144.130036670764,1.56987865355846,145.487537365282,50.245175,2.8125,165.486823839424,2.57941191437179,6.41229858875012,171,399.97342,764.1,80.0
2.95482625482625,5.21759845559846,1.35742892856008,155.938199338429,1.40811380797913,90.0611692359233,19.5766681467181,2.08880308880309,166.676144386022,2.07049860922916,1.33841326804939,205,399.97342,810.6,81.6
5.34256926952141,12.2896725440806,0.654596071778963,133.547744271478,0.690363572683183,133.464740355991,5.37564231738035,5.00755667506297,31.9990863335483,4.90649039575759,11.1063561510856,22,64.0,160.8,0.0485
2.76576923076923,5.41069230769231,1.42518570665114,157.050986836381,1.5064263242028,88.1861887186416,11.7826961538462,2.15,162.197434239129,2.10269034113271,1.34085052857184,199,399.97342,786.5,39.1
3.37925,10.13425,1.31115245112205,135.54560500407,1.60083485495321,105.83726978524,18.71255,2.875,37.5093878577096,2.64561354380438,2.9778359734768,171,199.97342,764.1,13.7
99.9652380952381,100.10873015873,0.936126381163201,162.795470316491,0.537539194368231,71.3372908758601,10.197546031746,3.85714285714286,12.284606816087,3.74447096981442,87.5000209812944,198,82.0,682.9,21.8
14.8108235294118,18.5982352941176,1.45901967012354,112.333362178264,1.76138760296277,89.7692710834821,15.6617635294118,2.37647058823529,127.103135476296,2.29140387377947,2.40509840952485,205,399.97417,899.0,49.0
3.02406671961874,5.38665448768864,1.13042757181707,139.595298984601,1.36599839066738,91.5204904387642,21.503669579031,2.07942811755361,166.919792653569,2.06545906834243,1.41352106733386,205,399.97342,810.6,18.6
7.06666666666667,17.8666666666667,0.371830271542509,163.560386402087,0.612203226446043,167.606030735199,12.266935,4.0,36.7695526217005,4.0,17.826499686622,24,78.0,100.3,3.44
11.12,21.0,0.754565089532164,166.627601955517,1.08147552580572,157.763855070323,25.044,3.6,13.1544669219243,3.4822022531845,18.6498538951608,94,36.0,254.5,2.6
2.92362204846327,4.92882046914918,1.23724044809735,151.358989346748,1.46465099476974,89.2188255539448,14.5905783076566,2.10064256406286,166.693901502224,2.08330219522807,1.30014367643741,205,399.97342,810.6,36.0
2.94346153846154,5.10684615384615,1.40280858516607,158.911939067467,1.41610406576827,90.4000190599473,19.5013732692308,2.08846153846154,166.656454814514,2.07022275539362,1.31785800490537,205,399.97342,810.6,67.9
4.29266666666667,7.694,1.1640132003214,140.611449046856,1.19623901547839,119.708618031648,31.2874,2.06666666666667,184.502921134657,2.05479931812743,2.99952651508722,205,399.97342,810.6,80.5
4.16978723404255,7.97829787234042,1.13153043898995,116.134917364942,1.46420806414886,149.056022826274,28.4100679489362,1.95744680851064,170.441748751374,1.94187025151963,4.90629862790888,211,399.97342,1177.5,131.4
1.74457142857143,3.83228571428571,1.15968659338134,136.126003095455,1.16552173358015,84.3399729530539,34.1626277428571,2.26571428571429,138.531237543398,2.22751152017006,1.03885659686115,205,399.97342,810.6,13.3
1.62826666666667,4.97289333333333,1.4264183815575,146.4168886257,1.6418918886579,86.6581770544313,25.87222,2.41266666666667,136.981414784611,2.27153353507262,1.32452049312299,185,399.97342,764.1,84.1
10.871,17.609,1.17378607295072,191.355768494872,1.32356052743539,154.079712137395,16.67809481,3.5,20.2336353629297,3.16620844692418,14.2977325664691,184,61.0,570.7,26.0
17.06,41.6666666666667,1.17918818052263,124.276327854246,1.41290739116127,115.902179964219,15.7767518333333,2.9,45.9335729311603,2.81372483811715,30.7149650131384,145,132.3,470.3,8.7
7.2025,15.9725,1.26287905257691,169.556481888108,1.26942989291608,157.14277301034,17.9437,2.875,29.845173395375,2.70659989709772,14.0738019916428,70,68.0,157.5,2.0
10.92,17.228,1.17354837797007,170.992039730076,1.18173866655017,143.962652028227,27.2221,3.42,32.8209445324171,2.99541571233979,13.356742226895,139,122.0,450.6,18.4
13.8,23.4,0.75772787449025,194.226680861765,0.851148204953133,182.419856999088,41.5157333333333,4.66666666666667,3.77123616632825,4.64158883361278,23.3622804157414,37,8.0,84.5,9.73
5.31313174946004,8.3961555075594,0.921164648318619,157.098910712553,1.22915210766127,134.704283632233,31.2368419006479,4.14902807775378,39.1639909549293,3.73352297415134,7.19312396314636,140,99.48,521.9,28.0
7.935,11.315,0.901302507476016,140.64767930516,1.06913712486938,136.011523682195,35.0955,4.75,36.1412160835797,4.55901411390956,9.14319399266325,33,79.0,311.0,4.4
1.80537094837935,4.25237214885954,1.05673325249385,141.441464390834,1.30481285024868,95.2644970275529,30.7362905162065,2.06002400960384,128.152841958285,2.03030565736645,1.17028293872431,205,399.97342,810.6,87.2
13.975,20.225,0.484033230588598,172.493478137581,0.565904698865824,171.745115684628,11.03551725,5.0,125.140670846851,5.0,19.6190800183867,3,289.0,239.2,1.755
1.74457142857143,4.05114285714286,1.11263862269811,139.74337176418,1.52277348333634,85.6732483755356,16.7554285714286,2.07142857142857,141.195910375963,2.05877052890024,1.06208913440462,205,399.97342,810.6,107.995
2.93265838509317,5.29715527950311,1.18305212822075,152.230595865577,1.56969288699661,89.2039052563386,7.99829192546584,2.0776397515528,166.386696949713,2.06396190551114,1.35947154677565,205,399.97342,810.6,75.6
7.35960591133005,14.8197044334975,0.839248416383795,125.493811962421,0.85665401728412,136.157176592661,50.7369458128079,4.55172413793103,38.159543071982,4.29364787616334,14.3055590291314,53,78.48,181.3,8.8
9.53333333333333,17.1333333333333,0.387766742347049,193.711125132244,0.661337192196429,187.972419373314,100.420716666667,5.0,25.4558441227157,4.7622031559046,16.5826886836994,35,54.0,252.7,1.57
19.74,32.58,0.711527349687963,117.137418588336,0.844099061162962,128.970949385978,32.8139,2.4,19.1979165536263,2.29739670999407,20.2033337314918,94,49.0,349.5,2.8
5.58257142857143,9.31857142857143,1.21378716593468,151.417991920923,1.25795415842397,154.527038451451,38.0912,2.11428571428571,190.082380866124,2.09485858532585,6.0866301879353,205,399.97342,810.6,81.0
12.4395155279503,15.3517888198758,1.08135570860214,121.043810832086,0.855644487446837,117.366591786219,43.474537515528,3.33540372670807,28.6644696076857,2.62843139975881,5.76000872861819,145,70.8195,647.7,3.38
0.846666666666666,4.84666666666667,0.225771554310638,179.994444358708,0.657570574402277,175.554334737248,8.732,1.33333333333333,54.2115198909686,1.25992104989487,4.25174092460047,27,115.0,69.5,13.0
16.912,18.992,0.216696559080212,177.988763690296,0.17070537168655,176.158280034628,38.26364,4.08,25.0827749660997,4.06540335924748,18.9481527094723,4,128.0,210.3,1.6
8.6685,11.944427,1.13572535567432,143.873102275655,1.06722402043104,134.560500951386,60.92955,4.975,30.807844922357,4.86387216943081,10.4695811527707,33,79.0,311.0,2.77
35.133215921099,37.8116590348714,0.754800338780251,114.179925171495,0.722457661731526,101.000836786395,7.38796867685805,2.71292708700247,62.037440711115,2.6703625213037,29.8738913040806,58,208.0,223.0,35.0
2.1578,4.1802,1.43354975605578,86.6714546977512,1.33907227541926,98.9306548010956,40.19614,4.3,5.31365397099359,3.77208744048648,2.18124517170845,153,12.97342,1138.9,3.0
18.462,25.742,0.674076867577622,178.997206682116,0.407407812852978,178.278656540015,60.00982,6.0,10.4096109437385,6.0,25.7417906960168,2,30.0,157.8,0.28
2.67680769230769,5.26242307692308,1.25339388367421,142.245338798365,1.42149282404362,89.7987662001639,20.1606826923077,2.09423076923077,161.497558265654,2.07789314557924,1.33812485448911,205,399.97342,810.6,57.6
1.889,4.305,0.894571101965202,131.729022092529,1.23591029688118,97.4777644088047,26.33205,2.0,140.776929236378,2.0,1.2662609867569,205,399.97342,810.6,62.0
7.83333333333333,17.7658333333333,1.10942065343784,144.385613882343,1.03173010570016,150.870460350158,48.7476666666667,2.88333333333333,19.5163748910726,2.42634462771319,11.3636581195826,90,58.0,348.2,6.4
3.05730830670927,5.42012300319489,1.13042757181707,139.595298984601,1.36171941211311,91.8528498465016,21.6761182108626,2.07987220447284,167.439179596458,2.06583101200372,1.42888631336817,205,399.97342,810.6,23.0
